Year,Mo,Dy,Hr,Mn,Sec,Tsunami Event Validity,Tsunami Cause Code,Earthquake Magnitude,Deposits,Country,Location Name,Latitude,Longitude,Maximum Water Height (m),Number of Runups,Tsunami Magnitude (Iida),Tsunami Intensity,Total Deaths,Total Missing,Total Missing Description,Total Injuries,Total Damage ($Mil),Total Damage Description,Total Houses Destroyed,Total Houses Damaged
1917.0,3.0,16.0,,,,2.0,0.0,,0.0,INDONESIA,JAVA SEA,-3.7,116.6,1.5,2.0,,1.0,,,,,,2.0,,
2010.0,1.0,3.0,22.0,36.0,27.9,4.0,1.0,7.1,0.0,SOLOMON ISLANDS,SOLOMON ISLANDS,-8.799,157.346,7.52,51.0,,,,,,,,1.0,16.0,60.0
1905.0,1.0,,,,,1.0,1.0,,0.0,MEXICO,REVILLAGIGEDO ISLANDS,19.0,-113.0,,1.0,,,,,,,,,,
1935.0,10.0,12.0,16.0,45.0,0.0,4.0,1.0,7.2,0.0,JAPAN,SANRIKU,39.9,143.7,0.3,8.0,-1.7,-1.0,,,,,,,,
2018.0,8.0,5.0,11.0,47.0,3.0,4.0,1.0,6.9,0.0,INDONESIA,BALI SEA,-8.258,116.438,2.0,6.0,,,560.0,,,7733.0,509.0,4.0,,83392.0
2008.0,11.0,16.0,17.0,2.0,32.7,4.0,1.0,7.3,0.0,INDONESIA,SULAWESI,1.271,122.091,0.13,3.0,,,6.0,,,77.0,,3.0,,1000.0
1935.0,12.0,28.0,2.0,35.0,0.0,1.0,1.0,7.9,0.0,INDONESIA,SW. SUMATRA,0.001,98.25,,0.0,,,,,,,,2.0,,
1839.0,3.0,,,,,1.0,1.0,,0.0,USA,HAWAII,,,,1.0,,,,,,,,,,
2017.0,4.0,28.0,20.0,23.0,26.0,4.0,1.0,6.9,0.0,PHILIPPINES,"SOCCSKSARGEN, PHILIPPINES",5.504,125.066,0.2,1.0,,,,,,7.0,,1.0,1.0,
1861.0,4.0,26.0,,,,4.0,1.0,7.0,0.0,INDONESIA,SW. SUMATRA,1.0,97.5,,1.0,,1.5,,,,,,,,
1833.0,11.0,24.0,,,,4.0,1.0,8.3,0.0,INDONESIA,SW. SUMATRA,-2.5,100.5,,6.0,,2.5,,,,,,2.0,,
1952.0,5.0,13.0,19.0,32.0,0.0,2.0,1.0,6.9,0.0,COSTA RICA,COSTA RICA-PANAMA,10.3,-85.3,0.1,2.0,-3.3,-3.0,,,,,,,,
1878.0,4.0,12.0,,,,2.0,1.0,,0.0,CHILE,NORTHERN CHILE,-20.2,-70.1,,1.0,,0.5,,,,,,,,
1894.0,7.0,10.0,12.0,33.0,,4.0,1.0,6.7,0.0,TURKEY,MARMARA SEA,40.6,28.7,4.5,3.0,,3.0,,,,,,3.0,,
1865.0,1.0,8.0,,,,3.0,1.0,,0.0,PERU,CENTRAL PERU,-12.0,-77.1,2.0,1.0,1.0,1.5,5.0,,,,,1.0,,
1931.0,2.0,2.0,22.0,46.0,51.3,4.0,3.0,7.7,2.0,NEW ZEALAND,N. NEW ZEALAND,-39.772,176.025,15.0,5.0,,0.0,261.0,,,400.0,25.0,4.0,,
1911.0,9.0,22.0,5.0,1.0,24.0,1.0,3.0,6.9,0.0,USA,"PRINCE WILLIAM SOUND, AK",60.5,-149.0,,1.0,,0.5,,,,,,1.0,,
